,Title,Links
0,Evening briefing: Japan downgrades tsunami warning,https://www.hindustantimes.com/india-news/evening-briefing-japan-downgrades-tsunami-warning-for-noto-region-dec-marks-highest-air-traffic-in-india-more-news-101704112661578.html
1,22% increase in commercial pilot licenses issued to women in 2023: DGCA,https://www.hindustantimes.com/india-news/22-increase-in-commercial-pilot-licenses-issued-to-women-in-2023-dgca-101704116246320.html
2,"India cricket schedule 2024: All series, match dates for men's and women's team",https://www.hindustantimes.com/cricket/india-cricket-schedule-for-2024-all-you-need-to-know-about-series-tours-match-dates-for-men-and-womens-team-101704113191355.html
3,Hamas Fighters 'Surprise' Israeli Special Forces Inside Gaza Home With Shells & Bullets | Watch,https://www.hindustantimes.com/videos/world-news/hamas-fighters-surprise-israeli-special-forces-inside-gaza-home-with-shells-bullets-watch-101704115784234.html
4,Netflix originals January 2024 releases: Bitconned to Gyeongseong Creature 2,https://www.hindustantimes.com/entertainment/web-series/netflix-unveils-list-of-originals-in-january-2024-bitconned-to-gyeongseong-creature-2-and-more-101704115256331.html
5,Two held for allegedly raping 15-year-old girl in Rajasthan’s Ajmer,https://www.hindustantimes.com/cities/jaipur-news/two-held-for-allegedly-raping-15-year-old-girl-in-rajasthan-s-ajmer-101704115762618.html
6,Dunki worldwide box office day 11: Shah Rukh Khan film earns over ₹380 crore,https://www.hindustantimes.com/entertainment/bollywood/dunki-worldwide-box-office-day-11-shah-rukh-khan-film-is-unstoppable-earns-over-380-crore-101704113287869.html
7,AP LAWCET Counselling 2023 phase II seat allotment results releasing tomorrow,https://www.hindustantimes.com/education/competitive-exams/ap-lawcet-counselling-2023-phase-ii-seat-allotment-results-releasing-tomorrow-at-lawcetscheaptonlinein-101704114592194.html
8,"Manoj Bajpayee flaunts abs in rare shirtless pics, fans ask if AI created photo",https://www.hindustantimes.com/entertainment/bollywood/manoj-bajpayee-flaunts-abs-in-rare-shirtless-pics-fans-ask-if-ai-created-the-photo-101704109521803.html
9,"Who is Goldy Brar, Moose Wala's killer, cop's son who reached Canada on visa?",https://www.hindustantimes.com/india-news/who-is-goldy-brar-sidhu-moose-walas-alleged-killer-ex-cops-son-who-reached-canada-on-student-visa-101704114105070.html
10,"After U.S.’ Airstrike, Now UK Issues Warning To Houthis Amid Red Sea Tension; ‘Won’t Hesitate To…’",https://www.hindustantimes.com/videos/world-news/after-u-s-airstrike-now-uk-issues-warning-to-houthis-amid-red-sea-tension-won-t-hesitate-to-101704114197849.html
11,Madhuri Dixit's New Year's greetings came wrapped in chic Manish Malhotra saree,https://www.hindustantimes.com/photos/lifestyle/madhuri-dixits-new-years-greetings-came-wrapped-in-a-stunning-manish-malhotra-saree-sets-ethnic-fashion-goals-pics-101704111723481.html
